2020-11-07,150722
2020-11-04,99580
2020-11-08,75574
2020-11-06,51461
2020-11-05,46874
2020-10-23,45870
2020-11-03,41500
2020-11-02,26067
2020-10-16,17950
2020-11-01,17551
2020-10-28,16429
2020-10-22,16152
2020-10-15,14949
2020-10-25,14877
2020-10-30,14625
2020-10-31,14607
2020-10-26,13736
2020-10-29,13720
2020-10-27,13616
2020-10-21,13443
2020-10-24,13105
2020-10-20,11854
2020-10-17,11469
2020-10-19,10781
2020-10-18,10374
Visualizin,149
HateN on O,68
Merkelgegn,9
Dhaka,8
#EDSHEERAN,4
https://t.,4
. Todo es,3
de la Uni,3
ARD / Hörf,2
PANAMASOT,2
"Heath\"",2
/🏍📸 hØlîC/,2
\"\",1
US NAVAL A,1
Halkla İli,1
Keep loves,1
Lucknow,1
Quick,1
Fırsatı Ka,1
Calculate,1
also work,1
Masteurisé,1
/ \,1
i wonder w,1
à ne suivr,1
Regio Zwol,1
Prima Pens,1
Cleveland,1
#abd #bide,1
Love life,1
simple as,1
El progre,1
#peraforex,1
one two th,0
ᅟᅟᅟ 'remıo,0
And let me,0
#BidenHarr,0
#3adekahcl,0
Не боюсь д,0
thorn,0
Shed me li,0
?,0
"Maryland\"",0
",,,Los Ang",0
626 Hebron,0
the bedroo,0
#Election2,0
"\"",0
". \"",0
Wolverhamp,0
http://bit,0
"2  \"",0
I respect,0
Its still,0
". —     \"",0
who cares,0
\"\",0
cookin' in,0
blinks and,0
›  :    /,0
way i'm ju,0
switchin',0
Здесь и та,0
Calm..,0
"U. S. A\"",0
I tell him,0
2Itzy,0
are you th,0
Can you te,0
so i gotta,0
",40.737598",0
".\"",0
!,0
Beat down!,0
heather HE,0
",27.947759",0
"ℴ\"",0
Все равно,0
",31.816038",0
Can I get,0
#NSA,0
",46.539175",0
"\"",0
dadada,0
SEGUROS.,0
"\"",0
just,0
pretty,0
Reparation,0
",52.374477",0
oh oh,0
fire,0
how you fe,0
"Anais Nin\"",0
